   observer     x           y            z       Thickness    Loading      Total
        1      0.000      -1.524     -0.6875       65.55       96.91       96.91    
        2      0.000      -1.524     -0.3507       68.28       96.84       96.84    
        3      0.000      -1.524     -0.4064E-01   69.55       95.56       95.54    
        4      0.000      -1.524      0.2694       69.19       93.90       93.87    
        5      0.000      -1.524      0.6063       67.11       91.44       91.41    
