 ObserverTime   Thickness    Loading      Total     Observer
 0.23415E-02      0.0746     -0.5341     -0.4595        1
 0.23624E-02      0.0758     -0.5220     -0.4462        1
 0.23833E-02      0.0770     -0.5205     -0.4435        1
 0.24042E-02      0.0781     -0.5257     -0.4477        1
 0.24251E-02      0.0791     -0.5358     -0.4567        1
 0.24460E-02      0.0801     -0.5483     -0.4682        1
 0.24669E-02      0.0810     -0.5606     -0.4795        1
 0.24878E-02      0.0820     -0.5698     -0.4878        1
 0.25087E-02      0.0828     -0.5794     -0.4966        1
 0.25296E-02      0.0836     -0.5897     -0.5061        1
 0.25505E-02      0.0844     -0.5987     -0.5144        1
 0.25714E-02      0.0851     -0.6040     -0.5188        1
 0.25923E-02      0.0858     -0.6056     -0.5198        1
 0.26132E-02      0.0865     -0.6062     -0.5197        1
 0.26342E-02      0.0871     -0.6101     -0.5230        1
 0.26551E-02      0.0877     -0.6151     -0.5274        1
 0.26760E-02      0.0883     -0.6205     -0.5322        1
 0.26969E-02      0.0888     -0.6240     -0.5352        1
 0.27178E-02      0.0893     -0.6276     -0.5383        1
 0.27387E-02      0.0898     -0.6305     -0.5407        1
 0.27596E-02      0.0903     -0.6322     -0.5419        1
 0.27805E-02      0.0907     -0.6306     -0.5399        1
 0.28014E-02      0.0911     -0.6259     -0.5348        1
 0.28223E-02      0.0915     -0.6209     -0.5294        1
 0.28432E-02      0.0919     -0.6171     -0.5252        1
 0.28641E-02      0.0922     -0.6149     -0.5226        1
 0.28850E-02      0.0926     -0.6136     -0.5210        1
 0.29059E-02      0.0929     -0.6135     -0.5206        1
 0.29268E-02      0.0932     -0.6148     -0.5216        1
 0.29478E-02      0.0935     -0.6177     -0.5242        1
 0.29687E-02      0.0938     -0.6235     -0.5298        1
 0.29896E-02      0.0940     -0.6297     -0.5357        1
 0.30105E-02      0.0943     -0.6355     -0.5413        1
 0.30314E-02      0.0945     -0.6396     -0.5451        1
 0.30523E-02      0.0947     -0.6416     -0.5469        1
 0.30732E-02      0.0949     -0.6428     -0.5478        1
 0.30941E-02      0.0951     -0.6431     -0.5480        1
 0.31150E-02      0.0953     -0.6424     -0.5472        1
 0.31359E-02      0.0954     -0.6403     -0.5448        1
 0.31568E-02      0.0956     -0.6361     -0.5405        1
 0.31777E-02      0.0958     -0.6316     -0.5359        1
 0.31986E-02      0.0959     -0.6285     -0.5326        1
 0.32195E-02      0.0960     -0.6268     -0.5308        1
 0.32404E-02      0.0961     -0.6257     -0.5296        1
 0.32613E-02      0.0962     -0.6268     -0.5306        1
 0.32822E-02      0.0964     -0.6291     -0.5327        1
 0.33031E-02      0.0964     -0.6334     -0.5369        1
 0.33240E-02      0.0965     -0.6395     -0.5430        1
 0.33450E-02      0.0966     -0.6438     -0.5472        1
 0.33659E-02      0.0967     -0.6462     -0.5495        1
 0.33868E-02      0.0967     -0.6454     -0.5487        1
 0.34077E-02      0.0968     -0.6414     -0.5446        1
 0.34286E-02      0.0968     -0.6340     -0.5372        1
 0.34495E-02      0.0968     -0.6226     -0.5257        1
 0.34704E-02      0.0969     -0.6093     -0.5124        1
